Protocol #,Country,Site #,Site Status,Site Enroll Status,PI Last Name,PI First Name,Account,Site Clin Complete - Actual,CTP Complete Date - Actual,Data Refresh Date
AI266-205,USA,1,Active,Recruiting,Mirochnick,Mark,NIAID,,2/18/2011 0:00,8/31/2018
AI266-959,USA,1,Clinically Complete,Completed,Hussaini,Azra,Parexel International - Baltimore Epcu,11/12/2015 0:00,7/3/2014 0:00,8/31/2018
AI424-439,Romania,1,Active,Not Applicable,Benea,Otilia,"Matei Bals Infectious Disease, Bucharest",,3/23/2011 0:00,8/31/2018
AI424-517,USA,1,Active,"Active, Not Recruiting",Mckenna,Carol,Senopsys Llc,,11/21/2014 0:00,8/31/2018
AI424-526,Italy,1,Active,Not Applicable,Moroni,Mauro,Fondazione ICONA,,10/10/2014 0:00,8/31/2018
AI424-530,USA,1,Active,Recruiting,Whitley,Kiera,"INC Research, LLC",,11/1/1999 0:00,8/31/2018
AI424-556,USA,1,Active,Not Applicable,Paruolo,Joseph,University of South Florida,,4/21/2016 0:00,8/31/2018
AI424-561,Italy,1,Active,Not Applicable,Carosi,G,Clinica Di Malattie,,10/7/2015 0:00,8/31/2018
AI424-565,Netherlands,1,Active,Not Applicable,Vanwolleghem,Thomas,Erasmus Medical Center,,8/31/2016 0:00,8/31/2018
AI424-570,USA,1,Active,Recruiting,Mcpherson,Tristan,New York Presbyterian Hospital,,12/21/2016 0:00,8/31/2018
AI433-031,USA,1,Active,Recruiting,Hughes,Stephen,National Cancer Institute,,3/16/2015 0:00,8/31/2018
AI434-022,USA,1,Active,Not Applicable,Swanstrom,Ronald,University Of North Carolina,,6/23/2014 0:00,8/31/2018
AI434-024,USA,1,Active,Recruiting,Sutton,Richard,Yale University School Of Medicine,,7/23/2015 0:00,8/31/2018
AI434-026,USA,1,Active,Recruiting,Mellors,John,University Of Pittsburgh,,10/8/2015 0:00,8/31/2018
AI438-011,Argentina,12,Active,"Active, Not Recruiting",Altclas,Javier,Medeos,,11/30/2011 0:00,8/31/2018
AI438-011,Argentina,13,Active,"Active, Not Recruiting",Cahn,Pedro,Fundacion Huesped,,2/1/2012 0:00,8/31/2018
AI438-011,Argentina,14,Clinically Complete,Completed,Cassetti,Lidia Isabel,Helios Salud S.A.,1/14/2013 0:00,3/1/2012 0:00,8/31/2018
AI438-011,Argentina,15,Active,"Active, Not Recruiting",Martins,Marcelo,Instituto Oulton,,1/19/2012 0:00,8/31/2018
AI438-011,Argentina,55,Clinically Complete,Completed,Galindez,Jorge,Cibic -Centro De Diagnostico Medico De Alta Complejidad S.A.,12/6/2013 0:00,1/31/2012 0:00,8/31/2018
AI438-011,Argentina,56,Active,"Active, Not Recruiting",Lupo,Sergio,Instituto Caici,,2/16/2012 0:00,8/31/2018
AI438-011,Colombia,16,Active,"Active, Not Recruiting",Arango,Alvaro,Fundacion Cardioinfantil - Instituto De Cardiologia,,11/24/2011 0:00,8/31/2018
AI438-011,Colombia,17,Active,"Active, Not Recruiting",Sussmann,Otto Alberto,Asistencia Cientifica De Alta Complejidad,,11/21/2011 0:00,8/31/2018
AI438-011,Colombia,30,Cancelled,"Active, Not Recruiting",Alvarez,Carlos,Hospital Universitario San Ignacio,12/17/2013 0:00,6/6/2012 0:00,8/31/2018
AI438-011,Germany,41,Active,"Active, Not Recruiting",Arasteh,Keikawus,Epimed Gmbh,,11/22/2011 0:00,8/31/2018
AI438-011,Germany,42,Active,"Active, Not Recruiting",Bogner,Johannes,Lmu Medizinische Poliklinik,,11/1/2011 0:00,8/31/2018
AI438-011,Germany,43,Active,Completed,Rockstroh,Juergen,Uniklinik,,5/23/2012 0:00,8/31/2018
AI438-011,Germany,44,Active,"Active, Not Recruiting",Stoehr,Albrecht,Ifi-Studien Und Projekte Gmbh,,12/6/2016 0:00,8/31/2018
AI438-011,Mexico,18,Active,"Active, Not Recruiting",Amaya,Gerardo,Hospital De Especialidades Del Centro Medico Puerta De Hierr,,5/11/2012 0:00,8/31/2018
AI438-011,Mexico,19,Active,"Active, Not Recruiting",Andrade Villanueva,Jaime Federico,Hospital Civil Fray Antonio Alcalde,,1/17/2012 0:00,8/31/2018
AI438-011,Mexico,20,Active,"Active, Not Recruiting",Granados Reyes,Enrique Rafael,Centro De Investigacion Clinica Gramel S.C.,,10/10/2011 0:00,8/31/2018
AI438-011,Mexico,21,Active,Completed,Sierra Madero,Juan,Instituto Nacional De Ciencias Medicas Y Nutricion S.Z.,,3/27/2012 0:00,8/31/2018
AI438-011,Mexico,29,Active,"Active, Not Recruiting",Trevino,Sandra Carlota,Mexico Centre For Clinical Research S.A. de C.V.,,9/26/2011 0:00,8/31/2018
AI438-011,Mexico,53,Clinically Complete,Completed,Marquez,Francisco,Centenario Hospital Miguel Hidalgo,1/22/2013 0:00,6/11/2012 0:00,8/31/2018
AI438-011,Mexico,54,Clinically Complete,"Active, Not Recruiting",Magana Aquino,Martin,Hospital Central Dr. Ignacio Morones Prieto,1/24/3013 0:00,5/30/2012 0:00,8/31/2018
AI438-011,Peru,22,Active,Completed,Casapia Morales,Wilfredo Martin,Asociacion Civil Selva Amazonica (Acsa),,11/29/2011 0:00,8/31/2018
AI438-011,Peru,23,Active,"Active, Not Recruiting",Echevarria Zarate,Juan Ignacio,Hospital Nacional Cayetano Heredia (Hnch),,12/27/2011 0:00,8/31/2018
AI438-011,Peru,24,Active,Completed,Lama Valdivia,Javier Ricardo,"AC IMPACTA Salud y Educacion, Sede San Miguel",,2/13/2012 0:00,8/31/2018
AI438-011,Peru,25,Active,"Active, Not Recruiting",Leon,Mey,Asociacion Civil Impacta Salud Y Educacion,,2/13/2012 0:00,8/31/2018
AI438-011,Peru,26,Active,"Active, Not Recruiting",Mendo Urbina,Fernando Cruz,Hospital Nacional Edgardo Rebagliati Martins,,12/9/2011 0:00,8/31/2018
AI438-011,Peru,27,Active,"Active, Not Recruiting",Salazar Castro,Magno Raul,Hospital Nacional Guillermo Almenara Irigoyen,,1/18/2012 0:00,8/31/2018
AI438-011,Peru,28,Active,"Active, Not Recruiting",Pinedo,Yvett,Asociacion Civil Via Libre,,12/5/2011 0:00,8/31/2018
AI438-011,Romania,37,Active,"Active, Not Recruiting",Diaconescu,Iulian Gheorghe,Spitalul Clinic De Boli Infect Si Pneumoftiziologie Craiova,,12/20/2011 0:00,8/31/2018
AI438-011,Romania,38,Active,"Active, Not Recruiting",Prisacariu,Liviu,Spitalul Clinic De Boli Infectioase Iasi,,12/29/2011 0:00,8/31/2018
AI438-011,Romania,39,Clinically Complete,Completed,Arama,Victoria,Institutul Ntl De Boli Infectioase Prof. Matei Bals,11/29/2013 0:00,12/29/2011 0:00,8/31/2018
AI438-011,Romania,40,Clinically Complete,Completed,Rugina,Sorin,Spitalul Clinic De Boli Infectioase Constanta,12/5/2014 0:00,1/9/2012 0:00,8/31/2018
AI438-011,Russian Federation,49,Active,"Active, Not Recruiting",Yakovlev,Alexey,Clinical Infectious Hospital #30 Named After S.P. Botkin,,1/10/2012 0:00,8/31/2018
AI438-011,Russian Federation,50,Active,"Active, Not Recruiting",Zakharova,Natalia,St. Petersburg State Healthcare Instution,,1/10/2012 0:00,8/31/2018
AI438-011,Russian Federation,51,Active,"Active, Not Recruiting",Tsybakova,Olga,Smolensk Center Of Aids And Infectious Diseases,,1/17/2012 0:00,8/31/2018
AI438-011,Russian Federation,52,Active,"Active, Not Recruiting",Voronin,E.E.,Republican Clinical Infectious Hospital,,1/20/2012 0:00,8/31/2018
AI438-011,South Africa,59,Planned,Not Recruiting,Pillay,Sundrapragasen,University Of Kwazulu-Natal,,,8/31/2018
AI438-011,South Africa,32,Active,"Active, Not Recruiting",Fourie,Jan,Dr J Fourie Medical Centre,,10/7/2011 0:00,8/31/2018
AI438-011,South Africa,33,Clinically Complete,"Active, Not Recruiting",Johnson,David,Dr David Johnson,9/8/2016 0:00,10/3/2011 0:00,8/31/2018
AI438-011,South Africa,34,Active,"Active, Not Recruiting",Kaplan,Richard,Desmond Tutu Hiv Foundation,,11/1/2011 0:00,8/31/2018
AI438-011,South Africa,35,Active,"Active, Not Recruiting",Latiff,Gulam,"Latiff, Gulam",,10/10/2011 0:00,8/31/2018
AI438-011,South Africa,36,Cancelled,Cancelled,Steyn,Dewald,Parexel Bloemfontein,,6/21/2012 0:00,8/31/2018
AI438-011,Spain,45,Clinically Complete,Completed,Arribas Lopez,Jose,Hospital Universitario La Paz,11/8/2013 0:00,12/15/2011 0:00,8/31/2018
AI438-011,Spain,46,Clinically Complete,Completed,Clotet,Bonaventura,Hosp Unv Germans Trias I Pujol,12/18/2013 0:00,1/25/2012 0:00,8/31/2018
AI438-011,Spain,47,Clinically Complete,Completed,Gatell,Josep,Hospital Clinic De Barcelona,11/21/2013 0:00,3/20/2012 0:00,8/31/2018
AI438-011,Spain,48,Clinically Complete,Completed,Rivero,Antonio,Hospital Universitario Reina Sofia,2/19/2013 0:00,3/21/2012 0:00,8/31/2018
AI438-011,USA,1,Active,"Active, Not Recruiting",Thompson,Melanie,Aids Research Consortium Of Atlanta,,8/18/2011 0:00,8/31/2018
AI438-011,USA,2,Clinically Complete,Completed,Bardinas Rodriguez,Rogelio,Sanitas Research,8/13/2013 0:00,10/26/2011 0:00,8/31/2018
AI438-011,USA,3,Clinically Complete,Completed,Dejesus,Edwin,Orlando Immunology Center,1/27/2015 0:00,7/29/2011 0:00,8/31/2018
AI438-011,USA,4,Clinically Complete,Completed,Elion,Richard,Whitman Walker Health,8/21/2013 0:00,7/29/2011 0:00,8/31/2018
AI438-011,USA,5,Active,"Active, Not Recruiting",Ernst,Jerome,Aids Com. Res. Init. Of Amer,,8/9/2011 0:00,8/31/2018
AI438-011,USA,57,Active,"Active, Not Recruiting",Sloan,Louis,"North Texas Infectious Diseases Consultants, PA",,6/22/2012 0:00,8/31/2018
AI438-011,USA,58,Planned,Not Recruiting,Ward,Douglas,Dupont Circle Physicians Group,,,8/31/2018
AI438-011,USA,6,Clinically Complete,Completed,Hassler,Shawn,Benchmark Research,9/12/2013 0:00,8/12/2011 0:00,8/31/2018
AI438-011,USA,7,Active,"Active, Not Recruiting",Mckellar,Mehri,Duke University Medical Center,,11/15/2011 0:00,8/31/2018
AI438-011,USA,8,Active,"Active, Not Recruiting",Scribner,Anita Ruth,Dcol Center For Clinical Research,,10/2/2011 0:00,8/31/2018
AI438-011,USA,9,Clinically Complete,Completed,Tebas,Pablo,University Of Pennsylvania,1/10/2013 0:00,12/8/2011 0:00,8/31/2018
AI438-011,USA,10,Active,Completed,Lalezari,Jacob,Quest Clinical Research,,7/29/2011 0:00,8/31/2018
AI438-011,USA,11,Active,"Active, Not Recruiting",Brinson,Cynthia,Central Texas Clinical Research,,12/6/2016 0:00,8/31/2018
AI438-011,USA,31,Active,"Active, Not Recruiting",Fichtenbaum,Carl,University Of Cincinnati College Of Medicine,,1/27/2012 0:00,8/31/2018
AI438-047,Argentina,5,Active,Recruiting,Cahn,Pedro,Fundacion Huesped,,10/21/2015 0:00,8/31/2018
AI438-047,Argentina,6,Active,Recruiting,Cassetti,Lidia Isabel,Helios Salud S.A.,,9/16/2015 0:00,8/31/2018
AI438-047,Argentina,7,Active,Recruiting,Lupo,Sergio,Caici,,9/14/2015 0:00,8/31/2018
